Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14
3,8,1,2,0,2,1,2,4,6,2,2,1,3,M
3,8,2,3,0,6,2,1,1,4,3,1,1,1,O
3,6,1,1,0,8,1,1,1,4,3,1,2,1,O
5,3,0,1,0,1,1,2,4,4,3,1,2,3,N
4,5,2,2,0,7,1,1,1,1,3,3,2,1,G
4,6,2,1,0,8,1,1,1,4,2,2,2,1,C
3,7,1,2,0,2,1,1,3,1,3,2,2,1,F
3,6,2,2,0,2,1,1,1,4,3,1,1,1,O
3,4,1,1,3,3,1,1,2,4,1,1,2,3,R
4,8,2,2,0,2,2,1,1,2,3,2,1,3,2
2,2,2,2,0,2,2,1,1,5,1,3,2,1,Z
3,8,2,3,2,5,1,1,1,4,1,1,1,1,L
3,6,1,3,0,6,2,2,5,1,2,4,1,1,K
4,3,2,2,0,2,1,1,2,4,3,2,2,1,2
4,5,1,1,1,3,1,2,3,3,3,1,1,3,N
3,8,2,2,0,2,1,2,4,1,1,1,1,1,R
3,5,1,1,0,1,1,1,1,4,3,2,1,1,P
3,8,2,2,1,4,2,1,1,6,1,3,1,1,Z
3,6,0,1,0,1,1,2,4,4,2,3,1,3,D
2,7,1,1,0,1,1,1,1,4,2,1,1,1,J
1,8,1,2,0,2,1,1,1,6,2,2,1,1,M
1,8,1,2,0,2,1,1,1,6,2,4,2,1,K
3,8,1,4,0,6,1,1,1,5,1,2,1,1,I
4,8,2,2,1,4,2,1,1,6,3,1,1,1,N
4,8,2,2,1,4,1,2,3,3,4,2,1,1,S
4,4,0,1,0,1,1,2,4,6,3,2,1,3,P
3,1,0,1,0,1,1,2,4,2,4,3,2,3,H
3,8,1,2,3,5,1,1,1,6,4,4,1,1,3
4,8,1,2,0,1,1,1,2,3,3,2,1,1,P
4,5,1,1,1,3,1,2,3,3,3,1,1,3,N
4,5,1,2,0,7,1,2,4,4,3,1,2,3,O
4,8,1,2,0,7,1,2,5,2,5,3,1,1,X
4,8,1,1,0,1,1,2,5,3,2,1,1,3,4
4,5,1,1,0,1,2,2,4,5,5,3,2,3,X
3,8,2,3,0,6,1,1,1,4,2,2,1,1,1
4,4,0,2,0,2,1,1,3,6,2,2,1,1,M
4,8,2,2,0,1,1,1,4,1,3,3,1,1,Q
2,8,1,2,0,7,1,1,1,4,2,1,2,1,J
3,4,1,1,2,3,1,1,2,6,3,2,2,3,P
