Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14
2,8,1,2,0,2,2,5,3,1,2,2,3,1,T
2,8,1,3,1,5,1,1,1,6,3,1,3,4,5
3,7,2,2,1,4,1,1,1,6,3,1,3,1,5
4,3,1,1,0,8,1,3,2,2,2,2,2,2,1
3,6,1,1,0,1,1,5,3,4,1,4,1,2,6
3,8,1,2,2,4,1,3,2,5,3,2,3,2,A
4,8,2,2,0,2,1,6,5,3,2,2,4,2,V
1,8,2,2,3,5,1,1,1,5,2,1,3,1,J
3,2,1,1,0,8,1,2,3,3,3,1,2,2,N
4,3,0,1,2,3,1,2,2,4,2,2,2,4,1
4,3,1,1,0,8,1,2,2,2,1,2,2,2,I
3,8,1,2,0,2,1,2,4,5,2,2,3,4,M
4,2,0,1,0,8,1,1,1,3,2,2,2,2,C
4,4,1,1,0,8,1,5,3,3,1,1,2,2,R
4,4,1,1,0,1,1,5,4,3,4,2,1,4,Y
4,7,1,1,0,1,1,1,1,2,2,1,1,1,J
4,8,1,2,0,2,1,3,3,2,2,2,3,2,M
4,7,2,2,0,2,1,4,3,4,3,2,3,2,2
4,8,2,2,0,2,1,1,1,6,3,1,3,2,O
4,8,1,2,0,2,1,3,3,2,2,2,3,2,M
3,8,2,2,1,4,2,6,4,1,4,2,3,1,Y
3,4,0,2,2,4,1,2,1,4,3,3,3,1,G
3,4,1,1,0,1,1,3,4,6,3,2,1,2,P
3,2,0,1,1,3,1,6,6,4,3,2,2,4,P
3,6,1,2,2,3,1,1,1,6,3,2,4,1,A
3,4,0,1,0,8,1,2,4,5,3,2,1,2,P
3,8,1,2,2,4,2,3,2,2,3,1,3,1,O
3,6,2,2,0,2,1,2,1,4,3,1,3,2,O
4,8,2,2,0,7,1,2,1,3,4,4,4,2,3
3,7,1,2,0,2,1,6,4,1,2,2,3,4,M
4,4,1,2,0,7,1,5,3,3,2,2,5,2,V
4,7,2,2,0,7,2,2,1,1,1,2,5,2,I
1,8,2,4,0,6,2,3,1,6,5,3,3,1,X
2,8,2,5,0,6,1,2,2,4,2,2,3,1,1
3,6,1,2,2,3,1,1,1,6,3,2,4,1,A
3,7,1,2,0,7,1,4,4,5,2,2,5,2,1
4,6,2,2,0,2,1,6,2,2,2,2,5,2,M
3,8,0,2,0,7,1,1,1,4,3,2,5,2,B
3,8,2,2,0,7,1,5,3,3,3,2,3,1,P
4,6,1,1,0,1,1,2,2,5,2,2,1,1,M
4,6,2,2,0,7,2,2,1,4,3,2,5,2,B
3,8,2,2,2,4,1,2,2,2,2,2,3,1,V
4,4,1,1,0,1,1,5,6,3,2,2,1,3,M
4,3,1,1,0,8,1,6,3,3,4,3,2,4,H
4,8,2,2,0,7,2,3,1,1,2,3,3,4,D
4,7,1,2,0,7,1,6,4,1,4,2,5,2,Y
4,4,1,1,0,1,1,5,3,4,2,2,1,1,C
3,3,1,2,0,2,1,3,2,3,2,1,5,2,4
4,4,1,1,0,8,1,4,3,5,2,1,2,2,4
4,4,1,1,0,1,1,5,6,4,4,2,1,4,Y
4,4,1,1,0,1,1,5,3,1,3,1,1,2,5
5,7,0,2,1,4,1,6,4,1,3,2,3,4,P
4,4,1,1,0,1,2,5,5,6,2,2,1,4,C
3,8,2,2,0,2,2,2,1,1,5,3,3,1,X
3,6,1,1,0,8,1,2,1,4,3,1,2,2,O
4,1,1,1,0,1,1,3,3,3,3,2,2,2,2
3,8,2,2,0,7,1,5,3,3,3,2,3,1,P
3,8,2,2,0,2,2,1,1,6,3,1,3,1,O
3,7,1,2,4,5,1,3,2,3,3,2,4,1,P
3,6,2,2,0,2,1,2,1,4,3,1,3,2,O
4,8,2,2,0,7,1,5,2,1,3,2,4,2,P
4,4,1,2,0,7,2,3,2,4,3,3,4,2,Q
3,8,1,2,1,4,1,3,4,2,3,2,3,4,A
3,8,2,4,0,6,1,3,2,4,3,2,3,1,F
4,4,0,1,0,1,2,5,2,3,3,3,2,4,G
3,8,2,2,2,4,1,3,1,2,1,1,3,1,L
3,5,1,1,0,1,1,6,5,2,2,2,1,4,V
4,3,0,1,0,8,1,5,4,1,2,2,2,2,M
3,8,2,2,2,4,2,2,2,3,2,2,3,1,T
3,7,2,2,1,4,1,1,1,5,3,1,3,2,O
3,8,1,3,0,6,1,1,1,6,4,4,3,2,3
2,4,1,1,0,1,1,3,4,6,3,2,1,4,P
4,4,2,2,0,7,1,4,2,4,1,1,5,2,L
4,8,1,2,0,2,1,2,2,2,1,1,3,2,U
4,3,1,1,0,8,1,6,3,3,4,2,2,2,Y
4,4,1,1,0,8,2,6,3,3,3,3,2,4,Q
4,4,0,1,0,1,1,6,4,1,2,2,1,1,M
3,5,1,1,0,1,1,5,5,5,3,1,1,4,N
4,5,1,1,0,1,1,4,4,5,3,2,1,1,A
3,6,1,1,0,8,1,2,1,4,3,1,2,2,O
4,8,2,3,0,2,2,2,1,6,3,2,4,1,B
4,8,2,4,0,6,1,1,1,5,5,3,3,2,X
4,8,2,2,0,7,1,3,2,6,3,2,4,2,B
4,3,1,1,0,1,1,3,1,5,2,2,2,2,V
4,4,1,1,0,8,1,4,5,5,3,2,2,2,B
3,3,1,1,0,8,1,5,4,1,3,2,2,2,P
4,4,1,2,0,7,2,5,2,1,3,3,5,2,Q
4,3,1,2,0,7,2,3,2,3,3,1,5,2,O
4,4,1,1,0,8,2,1,1,6,3,2,2,2,B
4,8,2,2,0,2,2,1,3,5,2,2,4,2,E
3,5,0,1,0,1,1,5,4,1,4,3,1,4,H
4,5,1,1,0,8,1,2,1,5,3,2,1,2,2
5,2,0,1,0,8,1,4,4,4,3,1,2,4,O
5,3,0,2,0,7,1,5,3,4,2,2,5,2,T
3,8,2,2,2,4,2,2,2,3,2,2,3,1,T
3,8,2,3,0,6,1,3,2,5,3,2,3,1,P
3,5,2,2,0,2,2,6,7,1,3,3,3,4,G
4,8,2,2,2,4,1,3,2,2,2,1,3,1,4
3,8,1,2,1,4,1,3,1,6,4,3,3,1,H
1,8,1,2,1,4,1,3,1,6,4,2,3,1,S
3,4,1,1,0,1,1,6,4,3,2,2,2,4,M
3,8,2,2,1,4,1,1,3,4,3,2,3,1,2
3,8,1,2,2,4,2,2,2,2,5,5,3,4,W
1,8,1,2,1,4,1,5,1,2,2,2,3,1,M
3,8,2,2,1,4,1,4,3,4,3,1,3,1,5
4,5,1,1,1,3,1,5,2,6,1,1,1,4,R
4,2,0,1,0,8,1,1,1,3,2,2,2,2,C
3,8,2,3,0,6,1,3,3,1,3,1,5,2,5
3,6,1,1,0,1,2,3,2,3,1,2,1,4,I
4,4,1,1,0,8,1,2,1,5,3,1,2,2,O
